City,StopName,StopAddress,Note
Watertown,Avera Home Medical Equipment,"1508 4th St NE, Watertown, SD 57201",
Watertown,Human Service Agency,"123 19th St NE, Watertown, SD 57201",
Watertown,Quality Inn,"800 35th St S, Watertown, SD 57201",
Watertown,My Place Hotel ,"3409 8th Ave SE, Watertown, SD 57201",
Watertown,Redlin Art Center,"1200 33rd St SE, Watertown, SD 57201",
Watertown,Econo Lodge Watertown,"920 14th St SE, Watertown, SD 57201",
Watertown,Montgomery's,"100 9th Ave SE, Watertown, SD 57201",
Watertown,Senor Max's,"1300 9th Ave SE #27, Watertown, SD 57201",
Watertown,The Salvation Army of Watertown,"621 4th St SE, Watertown, SD 57201",
Watertown,The Gym Inc,"207 E Kemp Ave, Watertown, SD 57201",
Watertown,Diversified Real Estate LLC,"25 4th Street Northeast, Watertown, SD 57201",
Watertown,Doc's Bar,"33 N Maple, Watertown, SD 57201",
Watertown,Duffy's Bar,"22 N Broadway, Watertown, SD 57201",
Watertown,Manock Meats,"107 Main St, Great Bend, ND 58075",
Watertown,Blazer Express,"821 US 75, Breckenridge, MN 56520",
Watertown,Alsager Meats,"1021 US-75, Breckenridge, MN 56520",
Watertown,Valley Christian Church,"721 Main St, Breckenridge, MN 56520",
Watertown,Petro Serve USA #64,"1025 Dakota Ave, Wahpeton, ND 58075",
Watertown,Dakota Coffee Co,"1001 2nd Ave N ste a, Wahpeton, ND 58075",
Watertown,Gate City Bank,"802 Dakota Ave, Wahpeton, ND 58074",
Watertown,Nielsen Appliance & Cabinetry,"710 Dakota Ave, Wahpeton, ND 58075",
Watertown,Johnson Law Office,"205 7th Street North, Wahpeton, ND 58075",
Watertown,Lovin Nutrition,"118 6th St N B, Wahpeton, ND 58075",
Watertown,Red River Human Service,"701 6th Street South, Wahpeton, Richland County, 58075",
Watertown,Valley Senior Citizen,"520 3rd Avenue South, Wahpeton, Richland County, 58075",
Watertown,DBS Inc.,"315 Dakota Avenue, Wahpeton, Richland County, 58075",
Watertown,Breckenridge Drug,"116 5th Street North, Wilkin COunty, 56520",
Watertown,Red River Valley & Western,"501 Minnesota Avenue, Breckenridge, Wilkin County, 56520",
Watertown,"Farm City Supply, Inc.","702 Minnesota Avenue, Breckenridge, 56520",
Watertown,Breckenridge Elementary,"810 Beede Avenue, Breckenridge, Wilkin County, 56520",
Watertown,Breckenridge School,"710 13th Street North, Breckenridge, Wilkin County, 56520",
Watertown,RDO Equipment,"905 Buffalo Ave, Breckenridge, Wilkin County, 56520",
Watertown,Farmers Union Oil,"711 Buffalo Ave, Breckenridge, MN 56520",
Watertown,"Courth House, Wilkin County LEC","300 5th Street South, Breckenridge, Wilkin County,56520",
Watertown,Benedictine Living Community,"1307 7th Street North, Richland County, 58075",
Watertown,Sendca Head,"1202 Westmore Avenue, Wahpeton, Richland County 58075",
Watertown,Chahinkapa Zoo,"1004 Rj Hughes Drive, Wahpeton, 58075",
Watertown,Faith Church ,"1589 11th Street North, Wahpeton, 58075",
Watertown,ComDel Innovation ,"2100 15th Street North, Wahpeton, 58075",
Watertown,AG County Farm,"1982 2 10 Drive, Wahpeton, Richland County, 58075",
Watertown,Dakota Yeast LLC,"18175 Red River Road West, Wahpeton, Dwight Township, 58075",
Watertown,Abu Trailers,"606 Miller St, Dwight, Richland COunty, 58075",
Watertown,Richland IFC,"405 Elavator Street, Dwight 58075",
Watertown,Richland School District No. 44,"106 Broadway, Abercrombie, 58001",
